"UH","Reserva","Valor","Data","Hora","Usuário","Qtde.","Motivo"
"1009","57337101","221","4/1/2022","8:27:00 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"1010","56984766","-257.66","4/1/2022","12:40:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1010","56984766","-12.88","4/1/2022","12:40:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1102","57181322","1035.55","4/1/2022","4:17:12 AM","RFELIZ","1","Erro de Laçto"
"1103","57072787","978.6","4/1/2022","2:55:09 AM","RFELIZ","1","Erro de Laçto"
"1208","57224390","885.16","4/1/2022","4:20:58 AM","RFELIZ","1","Erro de Laçto"
"207","57340129","-11.4","4/1/2022","12:52:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"207","57340129","-228","4/1/2022","12:52:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"410","56856393","-25","4/1/2022","12:54:54 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"410","56856393","-1.25","4/1/2022","12:54:54 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"410","56856393","-1.25","4/1/2022","12:55:02 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"410","56856393","-25","4/1/2022","12:55:02 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"505","57256667","-12.25","4/1/2022","12:13:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"505","57256667","-245","4/1/2022","12:13:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"710","57067961","24","4/1/2022","10:14:40 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"811","57175675","-6","4/1/2022","11:23:06 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"","","395.92","4/1/2022","10:41:43 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1101","57015201","304.5","4/2/2022","1:25:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1210","56966180","16457","4/2/2022","4:43:00 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"204","57015538","283.5","4/2/2022","6:55:08 AM","RFELIZ","1","Erro de Laçto"
"204","57015538","-10","4/2/2022","6:51:15 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"302","56833350","-6","4/2/2022","9:57:28 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"302","56833350","-15","4/2/2022","9:57:28 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"302","56833350","-6","4/2/2022","9:57:28 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"511","57338272","502.76","4/2/2022","12:46:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"701","57254737","-275","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"701","57254737","-275","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"701","57254737","-12.25","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"701","57254737","-13.75","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"701","57254737","-13.75","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"701","57254737","-245","4/2/2022","11:14:00 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-245","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-12.25","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-12.25","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-12.25","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-245","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"707","57254796","-245","4/2/2022","11:17:17 AM","LPADOVINO","1","ERRO DO SISTEMA"
"710","57343187","-0.01","4/2/2022","5:27:31 AM","RFELIZ","1","ERRO DO SISTEMA"
"710","57343187","0","4/2/2022","5:27:31 AM","RFELIZ","1","ERRO DO SISTEMA"
"804","57287236","188.81","4/2/2022","12:52:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"903","57332320","26.64","4/2/2022","12:33:31 AM","RFREITAS","1","ERRO DO SISTEMA"
"903","57332320","-1.33","4/2/2022","12:33:49 AM","RFREITAS","1","ERRO DO SISTEMA"
"903","57332320","206.46","4/2/2022","12:33:22 AM","RFREITAS","1","Erro de Laçto"
"903","57332320","-26.64","4/2/2022","12:33:49 AM","RFREITAS","1","ERRO DO SISTEMA"
"1010","56984766","-245.39","4/3/2022","8:50:32 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1010","56984766","-12.27","4/3/2022","8:50:32 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1107","56690401","868.47","4/3/2022","12:36:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1111","56581416","-25","4/3/2022","12:04:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1111","56581416","-1.25","4/3/2022","12:04:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"402","57146551","25","4/3/2022","10:38:00 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"407","57338299","26.25","4/3/2022","4:02:38 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"811","57354057","253.33","4/3/2022","12:51:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"","","41","4/3/2022","11:55:37 PM","RFREITAS","1","ERRO DE LANÇAMENTO"
"","","66","4/3/2022","11:55:37 PM","RFREITAS","2","ERRO DE LANÇAMENTO"
"","","87","4/3/2022","11:55:37 PM","RFREITAS","1","ERRO DE LANÇAMENTO"
