"UH","Reserva","Valor","Data","Hora","Usuário","Qtde.","Motivo"
"103","56071558","14,00","2/1/2022","9:12:31 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"109","55328253","309,50","2/1/2022","9:15:30 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"405","56327501","180,60","2/1/2022","11:46:32 AM","CALOLIVEIRA","1","Erro de Laçto"
"405","56327501","-172,00","2/1/2022","11:46:57 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"405","56327501","-8,60","2/1/2022","11:46:57 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"806","56183968","8,00","2/1/2022","10:41:28 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"904","56157703","210,47","2/1/2022","1:18:35 PM","LPADOVINO","1","Erro de Laçto"
"905","56175809","60,50","2/1/2022","3:15:23 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"","","4,50","2/1/2022","1:05:16 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"","","1.945,60","2/1/2022","11:45:01 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1010","56397666","-200,14","2/2/2022","12:06:00 AM","CFIOR","1","ERRO DE LANÇAMENTO"
"107","56388101","593,25","2/2/2022","11:52:02 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"1111","56322399","","2/2/2022","10:44:47 AM","RFELIZ","1","AUTORIZADO PELO GERENT"
"301","55898084","35,00","2/2/2022","9:04:00 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"301","55898084","-35,00","2/2/2022","9:04:00 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"403","56275544","-2,50","2/2/2022","4:33:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"509","56382316","-251,00","2/2/2022","1:45:24 PM","RFELIZ","1","ERRO DO SISTEMA"
"509","56382316","-12,55","2/2/2022","1:45:24 PM","RFELIZ","1","ERRO DO SISTEMA"
"","","23,00","2/2/2022","8:48:17 PM","CFIOR","1","ERRO DO SISTEMA"
"","56229534","430,58","2/2/2022","3:36:01 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1009","55791700","-184,37","2/3/2022","9:51:40 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1009","55791700","-9,22","2/3/2022","9:51:40 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"405","55813100","-97,00","2/3/2022","10:43:00 AM","CALOLIVEIRA","1","ERRO NA IMPRESSÃO"
"501","56402090","-180,99","2/3/2022","11:16:37 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"501","56402090","-9,05","2/3/2022","11:16:37 AM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"811","56147805","541,80","2/3/2022","10:51:12 AM","LPADOVINO","1","Erro de Laçto"
"903","56302258","-198,00","2/3/2022","7:18:00 AM","PTANAKA","33","HOSPEDE NÃO CONSUMIU"
"1010","56397666","-25,00","2/4/2022","11:59:00 AM","LPADOVINO","1","LCTO EM DUPLICIDADE"
"1010","56397666","365,72","2/4/2022","12:38:50 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"1010","56397666","-1,25","2/4/2022","11:59:00 AM","LPADOVINO","1","LCTO EM DUPLICIDADE"
"110","55294928","-8,40","2/4/2022","11:43:12 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"110","55294928","-168,00","2/4/2022","11:43:12 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1111","56170963","","2/4/2022","5:14:00 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU"
"1111","56170963","","2/4/2022","5:14:00 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU"
"201","56318812","-415,00","2/4/2022","10:59:38 AM","LPADOVINO","1","ERRO DO SISTEMA"
"201","56318812","-11,05","2/4/2022","10:59:38 AM","LPADOVINO","1","ERRO DO SISTEMA"
"201","56318812","-221,00","2/4/2022","10:59:37 AM","LPADOVINO","1","ERRO DO SISTEMA"
"209","56052251","65,00","2/4/2022","12:14:00 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"404","56052278","6,00","2/4/2022","2:28:12 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"610","56052766","-30,00","2/4/2022","12:44:35 PM","LPADOVINO","2","LCTO EM DUPLICIDADE"
"711","56254733","-6,00","2/4/2022","12:24:43 PM","LPADOVINO","1","LCTO EM DUPLICIDADE"
"1008","55882889","-404,00","2/5/2022","5:41:07 PM","CFIOR","1","ERRO DO SISTEMA"
"101","56329474","-35,00","2/5/2022","8:58:58 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"1010","56418876","-25,00","2/5/2022","9:25:00 AM","LPADOVINO","1","LCTO EM DUPLICIDADE"
"1010","56418876","-1,25","2/5/2022","9:25:00 AM","LPADOVINO","1","LCTO EM DUPLICIDADE"
"110","56429959","-25,00","2/5/2022","10:09:00 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU"
