UH,Reserva,Valor,Data,Hora,Usuário,Qtde.,Motivo
405,55784666,168.63,1/1/2022,10:53:11 AM,CFIOR,1,ERRO DE LANÇAMENTO
511,55849601,-240,1/1/2022,12:18:41 PM,CFIOR,1,VALOR LANÇADO INCORRET
805,55512062,-291.9,1/1/2022,11:17:00 AM,CFIOR,1,ERRO DE LANÇAMENTO
805,55512062,-7.27,1/1/2022,11:17:00 AM,CFIOR,1,ERRO DE LANÇAMENTO
805,55512062,-291.9,1/1/2022,11:17:00 AM,CFIOR,1,ERRO DE LANÇAMENTO
805,55512062,-145.45,1/1/2022,11:17:00 AM,CFIOR,1,ERRO DE LANÇAMENTO
1010,55169228,-270.9,1/2/2022,09:37:28 AM,CFIOR,1,HOSPEDE NÃO CONSUMIU
1010,55169228,1043.7,1/2/2022,09:36:01 AM,CFIOR,1,ERRO DE LANÇAMENTO
1106,55879608,283.1,1/2/2022,04:39:22 PM,CFIOR,1,ERRO DE LANÇAMENTO
1109,55089445,-0.01,1/2/2022,06:37:54 AM,RFREITAS,1,ERRO DO SISTEMA
1109,55089445,0,1/2/2022,06:37:54 AM,RFREITAS,1,ERRO DO SISTEMA
202,55507255,626.84,1/2/2022,03:01:53 AM,RFREITAS,1,Erro de Laçto
205,55507298,626.84,1/2/2022,03:04:07 AM,RFREITAS,1,Erro de Laçto
211,53716906,2764.06,1/2/2022,02:54:06 AM,RFREITAS,1,Erro de Laçto
407,55858139,-25,1/2/2022,01:39:59 AM,RFREITAS,1,ERRO DE LANÇAMENTO
407,55858139,-1.25,1/2/2022,01:39:59 AM,RFREITAS,1,ERRO DE LANÇAMENTO
410,55169201,1043.7,1/2/2022,09:41:57 AM,CFIOR,1,ERRO DE LANÇAMENTO
511,55855334,509.58,1/2/2022,06:58:00 PM,CFIOR,1,ERRO DE LANÇAMENTO
701,55036961,576.25,1/2/2022,02:19:05 AM,RFREITAS,1,ERRO DE LANÇAMENTO
701,55036961,850.48,1/2/2022,03:06:28 AM,RFREITAS,1,Erro de Laçto
705,55828825,432.33,1/2/2022,02:57:12 AM,RFREITAS,1,Erro de Laçto
801,53663462,1275.72,1/2/2022,02:59:25 AM,RFREITAS,1,Erro de Laçto
805,55512062,-6.95,1/2/2022,12:12:08 AM,RFREITAS,1,ERRO DE LANÇAMENTO
805,55512062,-0.35,1/2/2022,12:12:08 AM,RFREITAS,1,ERRO DE LANÇAMENTO
805,55512062,-252,1/2/2022,08:46:59 PM,RFREITAS,1,ERRO DO SISTEMA
901,55181740,1239,1/2/2022,02:15:59 AM,RFREITAS,1,ERRO DE LANÇAMENTO
909,55169236,1043.7,1/2/2022,09:45:24 AM,CFIOR,1,ERRO DE LANÇAMENTO
110,55855709,469.58,1/3/2022,07:38:54 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
1111,55415555,-88,1/3/2022,11:42:45 AM,LPADOVINO,11,HOSPEDE NÃO CONSUMIU
1206,55912303,-285,1/3/2022,10:47:00 PM,CFIOR,1,ERRO DO SISTEMA
301,55618626,-404,1/3/2022,10:34:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
305,55740200,850.5,1/3/2022,12:16:15 PM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-15.05,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
406,55339409,-301,1/3/2022,10:09:59 AM,LPADOVINO,1,ERRO DE LANÇAMENTO
