"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"1008","58380248","8","6/1/2022","12:00:33 PM","IGPESSOA","1","LCTO EM DUPLICIDADE",""
"105","57936668","144.9","6/1/2022","7:28:51 PM","CALOLIVEIRA","1","Erro de Laçto",""
"109","57850003","470.4","6/1/2022","9:02:50 AM","LPADOVINO","1","Erro de Laçto",""
"205","58380973","-5","6/1/2022","12:36:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"205","58380973","-3.94","6/1/2022","12:36:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"205","58380973","-0.25","6/1/2022","12:36:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"205","58380973","-78.72","6/1/2022","12:36:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"209","57849919","470.4","6/1/2022","11:09:36 AM","LPADOVINO","1","Erro de Laçto",""
"306","58199063","4","6/1/2022","2:13:33 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"705","57608377","816.48","6/1/2022","1:38:00 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"","","-600","6/1/2022","10:06:11 AM","LPADOVINO","1","ERRO DE LANÇAMENTO",""
"","","-30","6/1/2022","10:06:11 AM","LPADOVINO","1","ERRO DE LANÇAMENTO",""
"","","-30","6/1/2022","10:06:11 AM","LPADOVINO","1","ERRO DE LANÇAMENTO",""
"","","222","6/1/2022","10:04:47 AM","LPADOVINO","1","Erro de Laçto",""
"","","470.4","6/1/2022","9:11:30 AM","LPADOVINO","1","Erro de Laçto",""
"","","1700","6/1/2022","10:04:47 AM","LPADOVINO","1","Erro de Laçto",""
"","","-600","6/1/2022","10:06:11 AM","LPADOVINO","1","ERRO DE LANÇAMENTO",""
"1111","58038353","0","6/2/2022","10:00:00 AM","RFELIZ","1","CORTESIA DE DIÁRIAS",""
"1111","58038353","-0.01","6/2/2022","10:00:00 AM","RFELIZ","1","CORTESIA DE DIÁRIAS",""
"1201","58332235","-14.7","6/2/2022","11:47:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"1201","58332235","-294","6/2/2022","11:47:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"1202","57208492","-7","6/2/2022","6:52:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1202","57208492","-0.35","6/2/2022","6:52:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
