"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo"
"107","57429723","-293","5/1/2022","10:04:21 AM","RFELIZ","1","ERRO DO SISTEMA"
"208","57825777","32.25","5/1/2022","1:48:40 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"510","57813205","-196.79","5/1/2022","12:14:57 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"502","57837422","-196.24","5/1/2022","11:24:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"510","57813205","-30","5/1/2022","12:13:47 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"107","57429723","-14.65","5/1/2022","10:04:21 AM","RFELIZ","1","ERRO DO SISTEMA"
"107","57429723","-14.65","5/1/2022","10:04:21 AM","RFELIZ","1","ERRO DO SISTEMA"
"510","57813205","-9.84","5/1/2022","12:14:57 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"502","57837422","-9.81","5/1/2022","11:24:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"701","57718687","-2.97","5/1/2022","11:25:08 AM","RFELIZ","1","CORTESIA DE DIÁRIAS"
"510","57813205","-1.5","5/1/2022","12:13:47 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"701","57718687","-0.15","5/1/2022","11:25:08 AM","RFELIZ","1","CORTESIA DE DIÁRIAS"
"701","57718687","2.97","5/1/2022","11:24:36 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","26.25","5/1/2022","12:42:44 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"309","57755221","32.25","5/1/2022","12:35:06 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"107","57429723","-293","5/1/2022","10:04:21 AM","RFELIZ","1","ERRO DO SISTEMA"
"401","57767653","-281","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","210","5/2/2022","11:30:04 AM","LPADOVINO","1","Erro de Laçto"
"401","57767653","-281","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"401","57767653","-253","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1201","57720207","-59.9","5/2/2022","2:48:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"705","56816111","-25.2","5/2/2022","12:58:00 PM","CALOLIVEIRA","3","AUTORIZADO PELO GERENT"
"1106","57787670","-25","5/2/2022","12:38:00 AM","RFELIZ","1","LCTO EM DUPLICIDADE"
"710","57529248","-15","5/2/2022","8:48:00 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"401","57767653","-14.05","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"401","57767653","-14.05","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"401","57767653","-14.05","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"401","57767653","-12.65","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"905","57103801","-12","5/2/2022","8:09:00 AM","LPADOVINO","2","HOSPEDE NÃO CONSUMIU"
"905","57103801","-8","5/2/2022","8:09:00 AM","LPADOVINO","1","HOSPEDE NÃO CONSUMIU"
"1109","57804303","-4","5/2/2022","11:56:09 AM","LPADOVINO","1","AUTORIZADO PELO GERENT"
"705","56816111","-1.26","5/2/2022","12:58:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1106","57787670","-1.25","5/2/2022","12:38:00 AM","RFELIZ","1","LCTO EM DUPLICIDADE"
"401","57767653","-0.02","5/2/2022","6:50:08 AM","RFELIZ","1","CORTESIA DE DIÁRIAS"
"401","57767653","0","5/2/2022","6:50:08 AM","RFELIZ","1","CORTESIA DE DIÁRIAS"
"105","57828229","34.25","5/2/2022","7:26:38 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"804","57450684","74.5","5/2/2022","3:15:27 PM","LPADOVINO","1","AUTORIZADO PELO GERENT"
"401","57767653","-281","5/2/2022","6:47:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","-25","5/3/2022","4:16:09 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"506","57856915","983.83","5/3/2022","1:09:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"910","57637318","-25","5/3/2022","12:33:47 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
