UH,Reserva,Valor,Data,Hora,Usuário,Qtde,Motivo
1011,56559615,-185.57,3/1/2022,02:05:00 AM,RFREITAS,1,ERRO DO SISTEMA
106,56752172,-1.25,3/1/2022,04:33:02 PM,FRIGOBAR.SUCT,1,ERRO DE LANÇAMENTO
106,56752172,-24.93,3/1/2022,04:33:02 PM,FRIGOBAR.SUCT,1,ERRO DE LANÇAMENTO
108,56679610,711.12,3/1/2022,01:42:06 AM,RFREITAS,1,Erro de Laçto
108,56679610,-0.01,3/1/2022,01:42:25 AM,RFREITAS,1,ERRO DO SISTEMA
108,56679610,0,3/1/2022,01:42:25 AM,RFREITAS,1,ERRO DO SISTEMA
1107,54619718,929.24,3/1/2022,01:44:51 AM,RFREITAS,1,Erro de Laçto
1109,54074061,0,3/1/2022,01:38:35 AM,RFREITAS,1,ERRO DO SISTEMA
1109,54074061,-0.01,3/1/2022,01:38:35 AM,RFREITAS,1,ERRO DO SISTEMA
1109,56796455,-200.14,3/1/2022,02:08:00 AM,RFREITAS,1,ERRO DO SISTEMA
1109,54074061,582.76,3/1/2022,01:38:11 AM,RFREITAS,1,Erro de Laçto
1203,56759126,-25,3/1/2022,11:41:00 PM,CFIOR,1,LCTO EM DUPLICIDADE
1203,56759126,-1.25,3/1/2022,11:41:00 PM,CFIOR,1,LCTO EM DUPLICIDADE
208,56655657,853.64,3/1/2022,01:47:12 AM,RFREITAS,1,Erro de Laçto
301,56445644,-10.57,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-0.53,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-10.57,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-10.57,3/1/2022,10:03:03 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-10.57,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-0.53,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-0.53,3/1/2022,10:02:23 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
301,56445644,-0.53,3/1/2022,10:03:03 AM,CALOLIVEIRA,1,AUTORIZADO PELO GERENT
302,55967736,-8,3/1/2022,11:54:56 AM,LPADOVINO,2,HOSPEDE NÃO CONSUMIU
302,55967736,-8,3/1/2022,11:54:56 AM,LPADOVINO,1,HOSPEDE NÃO CONSUMIU
311,56785410,217.14,3/1/2022,01:54:59 AM,RFREITAS,1,ERRO DE LANÇAMENTO
311,56489145,141,3/1/2022,01:08:53 AM,RFREITAS,1,ERRO DE LANÇAMENTO
402,56642563,-0.48,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-0.48,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-0.48,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-0.48,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-9.51,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-9.51,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-9.51,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
402,56642563,-9.51,3/1/2022,04:38:00 PM,FRIGOBAR.SUCT,1,AUTORIZADO PELO GERENT
607,56736843,-154,3/1/2022,12:15:59 PM,LPADOVINO,1,ERRO DE LANÇAMENTO
607,56736843,-7.7,3/1/2022,12:15:59 PM,LPADOVINO,1,ERRO DE LANÇAMENTO
805,56546017,26.25,3/1/2022,10:11:02 AM,LPADOVINO,1,HOSPEDE NÃO CONSUMIU
807,56567642,-8,3/1/2022,09:36:00 AM,LPADOVINO,1,ERRO DO SISTEMA
811,56622724,-5,3/1/2022,06:49:19 AM,RFREITAS,1,ERRO DE LANÇAMENTO
901,55302890,-0.55,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
901,55302890,-10.93,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
901,55302890,-10.93,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
901,55302890,-10.93,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
901,55302890,-0.55,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
901,55302890,-0.55,3/1/2022,09:26:21 AM,LPADOVINO,1,ERRO DO SISTEMA
910,56778562,18286,3/1/2022,01:54:59 PM,FRIGOBAR.SUCT,1,ERRO DE LANÇAMENTO
911,56782691,-467,3/1/2022,05:19:26 PM,CFIOR,1,ERRO DO SISTEMA
,,-1.25,3/1/2022,04:07:21 PM,FRIGOBAR.SUCT,1,ERRO DE LANÇAMENTO
,,-0.06,3/1/2022,04:07:21 PM,FRIGOBAR.SUCT,1,ERRO DE LANÇAMENTO
1007,55738060,180.73,3/2/2022,03:44:26 PM,RFELIZ,1,ERRO DE LANÇAMENTO
1011,56583133,2203.74,3/2/2022,12:15:59 AM,RFREITAS,1,ERRO DE LANÇAMENTO
