UH;Reserva;Crédito;Débito;Valor;Data;Hora;Usuário;Qtde.;Motivo;
1008;58380248;0;8;8;01/06/2022;12:00:33;IGPESSOA;1;LCTO EM DUPLICIDADE;
105;57936668;0;144,9;144,9;01/06/2022;19:28:51;CALOLIVEIRA;1;Erro de Laçto;
109;57850003;0;470,4;470,4;01/06/2022;09:02:50;LPADOVINO;1;Erro de Laçto;
205;58380973;-5;0;-5;01/06/2022;12:36:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
205;58380973;-3,94;0;-3,94;01/06/2022;12:36:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
205;58380973;-0,25;0;-0,25;01/06/2022;12:36:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
205;58380973;-78,72;0;-78,72;01/06/2022;12:36:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
209;57849919;0;470,4;470,4;01/06/2022;11:09:36;LPADOVINO;1;Erro de Laçto;
306;58199063;0;4;4;01/06/2022;02:13:33;RFREITAS;1;ERRO DE LANÇAMENTO;
705;57608377;0;816,48;816,48;01/06/2022;13:38:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
;;-600;0;-600;01/06/2022;10:06:11;LPADOVINO;1;ERRO DE LANÇAMENTO;
;;-30;0;-30;01/06/2022;10:06:11;LPADOVINO;1;ERRO DE LANÇAMENTO;
;;-30;0;-30;01/06/2022;10:06:11;LPADOVINO;1;LCTO EM DUPLICIDADE;
;;0;222;222;01/06/2022;10:04:47;LPADOVINO;1;Erro de Laçto;
;;0;470,4;470,4;01/06/2022;09:11:30;LPADOVINO;1;Erro de Laçto;
;;0;1700;1700;01/06/2022;10:04:47;LPADOVINO;1;Erro de Laçto;
;;-600;0;-600;01/06/2022;10:06:11;LPADOVINO;1;ERRO DE LANÇAMENTO;
1111;58038353;0;0;0;02/06/2022;10:00:00;RFELIZ;1;CORTESIA DE DIÁRIAS;
1111;58038353;-0,01;0;-0,01;02/06/2022;10:00:00;RFELIZ;1;CORTESIA DE DIÁRIAS;
1201;58332235;-14,7;0;-14,7;02/06/2022;11:47:00;RFELIZ;1;ERRO DE LANÇAMENTO;
1201;58332235;-294;0;-294;02/06/2022;11:47:00;RFELIZ;1;ERRO DE LANÇAMENTO;
1202;57208492;-7;0;-7;02/06/2022;18:52:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1202;57208492;-0,35;0;-0,35;02/06/2022;18:52:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
411;58245170;-6;0;-6;02/06/2022;09:33:00;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
505;57915598;0;172,2;172,2;02/06/2022;10:40:51;LPADOVINO;1;Erro de Laçto;
507;58293043;-410;0;-410;02/06/2022;14:05:00;RFELIZ;1;ERRO DE LANÇAMENTO;
707;58111395;-179;0;-179;02/06/2022;12:42:00;LALUZ;1;ERRO NA IMPRESSÃO;
1001;57186529;0;549,44;549,44;03/06/2022;17:07:00;RFELIZ;1;LCTO EM DUPLICIDADE;
1003;58233806;0;625,8;625,8;03/06/2022;22:37:17;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1004;57311862;0;854,75;854,75;03/06/2022;10:47:51;IGPESSOA;1;Erro de Laçto;
1008;58332189;0;235;235;03/06/2022;02:08:00;RFREITAS;1;LCTO EM DUPLICIDADE;
1010;57636192;0;777;777;03/06/2022;22:33:43;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
109;58209700;0;557;557;03/06/2022;13:37:25;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
1101;57351880;-236,36;0;-236,36;03/06/2022;20:34:01;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1101;57351880;-11,82;0;-11,82;03/06/2022;20:34:02;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1203;58298592;-5;0;-5;03/06/2022;07:20:31;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
201;58183426;-177,53;0;-177,53;03/06/2022;03:25:00;RFREITAS;1;ERRO DO SISTEMA;
205;58260811;-12;0;-12;03/06/2022;07:27:46;CFIOR;2;HOSPEDE NÃO CONSUMIU;
205;58260811;-8;0;-8;03/06/2022;07:27:47;CFIOR;1;HOSPEDE NÃO CONSUMIU;
302;58230548;0;185,85;185,85;03/06/2022;22:36:04;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
409;58222227;-8;0;-8;03/06/2022;07:07:00;RFREITAS;1;HOSPEDE NÃO CONSUMIU;
411;58366865;0;588;588;03/06/2022;02:27:00;RFREITAS;1;ERRO DE LANÇAMENTO;
611;58446605;0;271,66;271,66;03/06/2022;02:18:00;RFREITAS;1;LCTO EM DUPLICIDADE;
709;58221964;-12;0;-12;03/06/2022;07:15:00;RFREITAS;1;HOSPEDE NÃO CONSUMIU;
710;58133291;0;1043,7;1043,7;03/06/2022;22:35:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
803;58219897;-0,01;0;-0,01;03/06/2022;06:52:26;RFREITAS;1;ERRO DO SISTEMA;
803;58219897;0;0;0;03/06/2022;06:52:26;RFREITAS;1;ERRO DO SISTEMA;
806;58332936;-10,75;0;-10,75;03/06/2022;03:22:00;RFREITAS;1;ERRO DO SISTEMA;
806;58332936;-215;0;-215;03/06/2022;03:22:00;RFREITAS;1;ERRO DO SISTEMA;
810;55916880;0;846,55;846,55;03/06/2022;14:35:59;CALOLIVEIRA;1;Erro de Laçto;
58076360;;0;833,12;833,12;03/06/2022;18:14:04;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-8;0;-8;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-0,5;0;-0,5;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-0,5;0;-0,5;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-0,5;0;-0,5;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-0,5;0;-0,5;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-0,5;0;-0,5;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;0;428;428;04/06/2022;10:40:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-10;0;-10;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-160;0;-160;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-10;0;-10;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-10;0;-10;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-10;0;-10;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;-10;0;-10;04/06/2022;10:37:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1005;58280243;0;131,25;131,25;04/06/2022;10:47:08;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1101;57351880;-11,83;0;-11,83;04/06/2022;11:02:07;CFIOR;1;ERRO DE LANÇAMENTO;
1101;57351880;-236,68;0;-236,68;04/06/2022;11:02:07;CFIOR;1;ERRO DE LANÇAMENTO;
1207;58340491;-42;0;-42;04/06/2022;05:43:12;RFREITAS;1;ERRO DO SISTEMA;
1207;58340491;-2,1;0;-2,1;04/06/2022;05:43:12;RFREITAS;1;ERRO DO SISTEMA;
401;58182861;0;1304,1;1304,1;04/06/2022;12:45:12;CFIOR;1;ERRO DE LANÇAMENTO;
401;58182861;-260,82;0;-260,82;04/06/2022;12:45:12;CFIOR;1;ERRO DE LANÇAMENTO;
406;58332049;-10,75;0;-10,75;04/06/2022;02:47:47;RFREITAS;1;ERRO DO SISTEMA;
406;58332049;-215;0;-215;04/06/2022;02:47:47;RFREITAS;1;ERRO DO SISTEMA;
605;58160639;0;226,8;226,8;04/06/2022;17:04:44;CFIOR;1;HOSPEDE NÃO CONSUMIU;
605;58160639;-226,8;0;-226,8;04/06/2022;17:04:44;CFIOR;1;HOSPEDE NÃO CONSUMIU;
608;58332766;-10,75;0;-10,75;04/06/2022;02:47:11;RFREITAS;1;ERRO DO SISTEMA;
608;58332766;-215;0;-215;04/06/2022;02:47:10;RFREITAS;1;ERRO DO SISTEMA;
1006;58436332;-4;0;-4;05/06/2022;11:58:33;ECSOUSA;1;ERRO DE LANÇAMENTO;
1007;56785488;-16,5;0;-16,5;05/06/2022;12:34:40;CFIOR;1;ERRO DE LANÇAMENTO;
1007;56785488;-0,83;0;-0,83;05/06/2022;12:34:40;CFIOR;1;ERRO DE LANÇAMENTO;
1111;57347433;-15;0;-15;05/06/2022;09:39:00;CFIOR;1;HOSPEDE NÃO CONSUMIU;
301;58456228;0;511,25;511,25;05/06/2022;01:08:00;RFELIZ;1;ERRO DE LANÇAMENTO;
309;58427678;-6,08;0;-6,08;05/06/2022;04:06:00;RFREITAS;1;ERRO DO SISTEMA;
309;58427678;-121,52;0;-121,52;05/06/2022;04:06:00;RFREITAS;1;ERRO DO SISTEMA;
310;55434304;-8;0;-8;05/06/2022;11:18:38;CFIOR;1;HOSPEDE NÃO CONSUMIU;
402;57855641;-12;0;-12;05/06/2022;10:32:36;IGPESSOA;2;LCTO EM DUPLICIDADE;
402;57855641;-6;0;-6;05/06/2022;09:48:00;IGPESSOA;1;ERRO DO SISTEMA;
609;58436391;-0,49;0;-0,49;05/06/2022;08:20:00;CFIOR;1;ERRO DE LANÇAMENTO;
609;58436391;-9,76;0;-9,76;05/06/2022;08:20:00;CFIOR;1;ERRO DE LANÇAMENTO;
611;58446605;0;271,66;271,66;05/06/2022;12:52:00;CFIOR;1;ERRO DE LANÇAMENTO;
803;58436030;-17,2;0;-17,2;05/06/2022;10:39:00;CFIOR;1;ERRO DE LANÇAMENTO;
803;58436030;-0,86;0;-0,86;05/06/2022;10:39:00;CFIOR;1;ERRO DE LANÇAMENTO;
909;58331697;-0,55;0;-0,55;05/06/2022;12:36:28;IGPESSOA;1;ERRO DE LANÇAMENTO;
909;58331697;-11;0;-11;05/06/2022;12:36:28;IGPESSOA;1;ERRO DE LANÇAMENTO;
607;58336621;0;525;525;06/06/2022;14:05:01;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
709;58459677;0;206,98;206,98;06/06/2022;07:08:37;RFELIZ;1;ERRO DO SISTEMA;
709;57731500;-0,91;0;-0,91;06/06/2022;11:30:29;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
709;57731500;-18,12;0;-18,12;06/06/2022;11:30:29;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
810;57804710;-39;0;-39;06/06/2022;21:25:00;ECSOUSA;1;CANCELAR NOTA FISCAL;
907;58308792;-255,26;0;-255,26;06/06/2022;02:27:00;RFREITAS;1;ERRO DO SISTEMA;
1202;58420622;-11,58;0;-11,58;07/06/2022;12:26:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1202;58420622;-231,5;0;-231,5;07/06/2022;12:26:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
609;58436391;-225;0;-225;07/06/2022;22:02:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
609;58436391;-0,29;0;-0,29;07/06/2022;22:04:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
609;58436391;-5,71;0;-5,71;07/06/2022;22:04:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
609;58436391;-11,25;0;-11,25;07/06/2022;22:02:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
611;58457216;0;104;104;07/06/2022;13:27:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
611;58250913;0;149,1;149,1;07/06/2022;22:19:47;CALOLIVEIRA;1;Erro de Laçto;
901;58397213;0;94,5;94,5;07/06/2022;01:14:00;RFREITAS;1;ERRO DE LANÇAMENTO;
904;58458441;0;144,9;144,9;07/06/2022;06:33:46;RFREITAS;1;Erro de Laçto;
;;-15;0;-15;07/06/2022;21:54:08;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
;;-0,75;0;-0,75;07/06/2022;21:54:08;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
