UH;Reserva;Descrição;Crédito;Débito;Valor;Documento;Data;Hora;Usuário;Qtde.;Motivo;
107;57429723;DIARIA;-293;0,00;-293,00;UH: 107 Reserva: 574;01/05/2022;10:04:21;RFELIZ;1;ERRO DO SISTEMA;
208;57825777;STONE - MASTERCARD D;0;32,25;32,25;113460;01/05/2022;1:48:40;RFELIZ;1;ERRO DE LANÇAMENTO;
510;57813205;DIFERENÇA DE DIARIA;-196,79;0,00;-196,79;UH: 510 Reserva: 578;01/05/2022;12:14:57;RFELIZ;1;ERRO DE LANÇAMENTO;
502;57837422;DIARIA;-196,24;0,00;-196,24;UH: 502 Reserva: 578;01/05/2022;23:24:00;RFELIZ;1;ERRO DE LANÇAMENTO;
510;57813205;DIFERENÇA DE DIARIA;-30;0,00;-30,00;REF DIONEI DA COS;01/05/2022;12:13:47;RFELIZ;1;ERRO DE LANÇAMENTO;
107;57429723;ISS;-14,65;0,00;-14,65;;01/05/2022;10:04:21;RFELIZ;1;ERRO DO SISTEMA;
107;57429723;ISS;-14,65;0,00;-14,65;;01/05/2022;10:04:21;RFELIZ;1;ERRO DO SISTEMA;
510;57813205;ISS;-9,84;0,00;-9,84;;01/05/2022;12:14:57;RFELIZ;1;ERRO DE LANÇAMENTO;
502;57837422;ISS;-9,81;0,00;-9,81;;01/05/2022;23:24:00;RFELIZ;1;ERRO DE LANÇAMENTO;
701;57718687;DIARIA;-2,97;0,00;-2,97;UH: 701 Reserva: 577;01/05/2022;11:25:08;RFELIZ;1;CORTESIA DE DIÁRIAS;
510;57813205;ISS;-1,5;0,00;-1,50;;01/05/2022;12:13:47;RFELIZ;1;ERRO DE LANÇAMENTO;
701;57718687;ISS;-0,15;0,00;-0,15;;01/05/2022;11:25:08;RFELIZ;1;CORTESIA DE DIÁRIAS;
701;57718687;DINHEIRO;0;2,97;2,97;;01/05/2022;11:24:36;RFELIZ;1;ERRO DE LANÇAMENTO;
;;STONE - MASTERCARD C;0;26,25;26,25;REF A 908;01/05/2022;0:42:44;RFELIZ;1;ERRO DE LANÇAMENTO;
309;57755221;STONE - ELO CREDITO;0;32,25;32,25;655687;01/05/2022;0:35:06;RFELIZ;1;ERRO DE LANÇAMENTO;
107;57429723;DIARIA;-293;0,00;-293,00;UH: 107 Reserva: 574;01/05/2022;10:04:21;RFELIZ;1;ERRO DO SISTEMA;
401;57767653;DIARIA;-281;0,00;-281,00;UH: 401 Reserva: 577;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
;;A FATURAR;0;210,00;210,00;;02/05/2022;11:30:04;LPADOVINO;1;Erro de Laçto;
401;57767653;DIARIA;-281;0,00;-281,00;UH: 401 Reserva: 577;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
401;57767653;DIARIA;-253;0,00;-253,00;UH: 401 Reserva: 577;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
1201;57720207;ACESSORIO CELULAR;-59,9;0,00;-59,90;Venda: 75905733;02/05/2022;14:48:00;ECSOUSA;1;ERRO DE LANÇAMENTO;
705;56816111;PASSADORIA;-25,2;0,00;-25,20;Venda: 75894789 / 3 c;02/05/2022;12:58:00;CALOLIVEIRA;3;AUTORIZADO PELO GERENT;
1106;57787670;ESTACIONAMENTO;-25;0,00;-25,00;rmf7a36;02/05/2022;0:38:00;RFELIZ;1;LCTO EM DUPLICIDADE;
710;57529248;FRIGOBAR;-15;0,00;-15,00;Venda: 75902722;02/05/2022;8:48:00;LPADOVINO;1;HOSPEDE NÃO CONSUMIU;
401;57767653;ISS;-14,05;0,00;-14,05;;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
401;57767653;ISS;-14,05;0,00;-14,05;;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
401;57767653;ISS;-14,05;0,00;-14,05;;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
401;57767653;ISS;-12,65;0,00;-12,65;;02/05/2022;6:47:03;RFELIZ;1;ERRO DE LANÇAMENTO;
905;57103801;FRIGOBAR;-12;0,00;-12,00;Venda: 75901411;02/05/2022;8:09:00;LPADOVINO;2;HOSPEDE NÃO CONSUMIU;
905;57103801;FRIGOBAR;-8;0,00;-8,00;Venda: 75901412;02/05/2022;8:09:00;LPADOVINO;1;HOSPEDE NÃO CONSUMIU;
1109;57804303;FRIGOBAR;-4;0,00;-4,00;Venda: 75895568;02/05/2022;11:56:09;LPADOVINO;1;AUTORIZADO PELO GERENT;
705;56816111;ISS;-1,26;0,00;-1,26;;02/05/2022;12:58:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1106;57787670;ISS;-1,25;0,00;-1,25;;02/05/2022;0:38:00;RFELIZ;1;LCTO EM DUPLICIDADE;
401;57767653;DIARIA;-0,02;0,00;-0,02;REF 01.05.22'';02/05/2022;6:50:08;RFELIZ;1;CORTESIA DE DIÁRIAS;
401;57767653;ISS;0;0,00;0,00;;02/05/2022;6:50:08;RFELIZ;1;CORTESIA DE DIÁRIAS;
105;57828229;STONE - MASTERCARD D;0;34,25;34,25;114928;02/05/2022;19:26:38;CFIOR;1;ERRO DE LANÇAMENTO;
804;57450684;STONE - VISA CREDITO;0;74,50;74,50;385427;02/05/2022;15:15:27;LPADOVINO;1;AUTORIZADO PELO GERENT;
